starttime	seconds	ctime	dtime	ttime	wait
Sun Oct 30 00:07:49 2022	1667102869	0	4	4	4
Sun Oct 30 00:07:50 2022	1667102870	1	3	4	3
Sun Oct 30 00:07:49 2022	1667102869	1	3	4	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:47 2022	1667102867	1	3	4	3
Sun Oct 30 00:07:49 2022	1667102869	1	4	4	3
Sun Oct 30 00:07:48 2022	1667102868	1	3	4	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:46 2022	1667102866	1	4	4	3
Sun Oct 30 00:07:47 2022	1667102867	1	4	4	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:50 2022	1667102870	0	4	4	3
Sun Oct 30 00:07:49 2022	1667102869	1	4	4	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	0	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	3	4	3
Sun Oct 30 00:07:50 2022	1667102870	1	4	4	3
Sun Oct 30 00:07:47 2022	1667102867	1	4	4	4
Sun Oct 30 00:07:49 2022	1667102869	1	3	4	2
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:49 2022	1667102869	0	4	4	3
Sun Oct 30 00:07:49 2022	1667102869	0	4	4	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	4	3
Sun Oct 30 00:07:50 2022	1667102870	1	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:50 2022	1667102870	1	4	4	3
Sun Oct 30 00:07:49 2022	1667102869	0	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:49 2022	1667102869	0	4	4	3
Sun Oct 30 00:07:48 2022	1667102868	0	4	4	3
Sun Oct 30 00:07:50 2022	1667102870	0	4	4	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	4	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:50 2022	1667102870	0	4	4	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:49 2022	1667102869	1	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:49 2022	1667102869	0	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:50 2022	1667102870	0	4	4	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	4	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	4	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:46 2022	1667102866	1	4	4	3
Sun Oct 30 00:07:47 2022	1667102867	1	4	4	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	4	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	4	3
Sun Oct 30 00:07:47 2022	1667102867	1	4	4	3
Sun Oct 30 00:07:50 2022	1667102870	1	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:49 2022	1667102869	0	4	4	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	4	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	4	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:48 2022	1667102868	0	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	0	4	4	3
Sun Oct 30 00:07:50 2022	1667102870	0	4	4	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	4	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	4	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	0	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	4	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	4	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	4	3
Sun Oct 30 00:07:49 2022	1667102869	1	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	4	3
Sun Oct 30 00:07:49 2022	1667102869	0	4	4	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	4	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	4	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	4	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	4	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	4	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	4	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	4	3
Sun Oct 30 00:07:49 2022	1667102869	1	4	4	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	4	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	4	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	4	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	4	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	4	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	0	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	3
Sun Oct 30 00:07:47 2022	1667102867	1	4	5	4
Sun Oct 30 00:07:47 2022	1667102867	0	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	5	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	0	4	5	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	0	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	3
Sun Oct 30 00:07:47 2022	1667102867	0	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	3
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:46 2022	1667102866	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:46 2022	1667102866	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:47 2022	1667102867	0	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	0	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	5	4
Sun Oct 30 00:07:46 2022	1667102866	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	5	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:46 2022	1667102866	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	3
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:46 2022	1667102866	0	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	5	3
Sun Oct 30 00:07:50 2022	1667102870	0	5	5	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	5	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	0	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	0	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	5	5	5
Sun Oct 30 00:07:47 2022	1667102867	0	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	3
Sun Oct 30 00:07:49 2022	1667102869	0	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	5	5	5
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	0	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:46 2022	1667102866	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	5	5	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	5	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	3
Sun Oct 30 00:07:49 2022	1667102869	0	5	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:47 2022	1667102867	1	4	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	0	5	5	3
Sun Oct 30 00:07:48 2022	1667102868	1	4	5	4
Sun Oct 30 00:07:49 2022	1667102869	0	5	5	4
Sun Oct 30 00:07:48 2022	1667102868	0	5	5	5
Sun Oct 30 00:07:50 2022	1667102870	0	5	5	5
Sun Oct 30 00:07:48 2022	1667102868	0	5	5	3
Sun Oct 30 00:07:49 2022	1667102869	1	5	5	4
Sun Oct 30 00:07:48 2022	1667102868	0	5	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	5	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	5	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	5	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	5	5	5
Sun Oct 30 00:07:50 2022	1667102870	0	5	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	5	5	5
Sun Oct 30 00:07:48 2022	1667102868	0	5	5	5
Sun Oct 30 00:07:48 2022	1667102868	1	5	5	4
Sun Oct 30 00:07:50 2022	1667102870	1	5	5	4
Sun Oct 30 00:07:47 2022	1667102867	0	5	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	5	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	5	5	5
Sun Oct 30 00:07:47 2022	1667102867	0	5	5	5
Sun Oct 30 00:07:49 2022	1667102869	1	5	5	5
Sun Oct 30 00:07:50 2022	1667102870	0	5	5	4
Sun Oct 30 00:07:50 2022	1667102870	0	5	5	4
Sun Oct 30 00:07:49 2022	1667102869	0	5	5	5
Sun Oct 30 00:07:48 2022	1667102868	1	5	5	4
Sun Oct 30 00:07:46 2022	1667102866	1	5	5	4
Sun Oct 30 00:07:48 2022	1667102868	1	5	5	4
Sun Oct 30 00:07:49 2022	1667102869	1	5	5	4
