starttime	seconds	ctime	dtime	ttime	wait
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	1	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	1	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	1	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	1	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	0	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	0
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	0
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:59 2022	1667252459	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
Mon Oct 31 17:40:58 2022	1667252458	0	1	1	1
